ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10239870,HY427696,09/17/2015 08:25:00 PM,006XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,MOVIE HOUSE/THEATER,False,False,1834,18,42.0,8,08B,1177327.0,1904307.0,2015,02/10/2018 03:50:01 PM,41.892753031,-87.624193896,"(41.892753031, -87.624193896)"
10242430,HY430563,09/20/2015 02:18:00 AM,048XX N BROADWAY,1330,CRIMINAL TRESPASS,TO LAND,MOVIE HOUSE/THEATER,True,False,2033,20,48.0,3,26,1167444.0,1932222.0,2015,02/10/2018 03:50:01 PM,41.969571632,-87.659684501,"(41.969571632, -87.659684501)"
10250968,HY438395,09/25/2015 09:00:00 PM,031XX N SHEFFIELD AVE,2230,LIQUOR LAW VIOLATION,ILLEGAL CONSUMPTION BY MINOR,MOVIE HOUSE/THEATER,True,False,1933,19,44.0,6,22,1169054.0,1921198.0,2015,02/10/2018 03:50:01 PM,41.939286479,-87.654085821,"(41.939286479, -87.654085821)"
10258764,HY446130,10/01/2015 08:00:00 PM,060XX W IRVING PARK RD,5011,OTHER OFFENSE,LICENSE VIOLATION,MOVIE HOUSE/THEATER,False,False,1624,16,38.0,15,26,1135510.0,1925970.0,2015,02/10/2018 03:50:01 PM,41.953044506,-87.777256854,"(41.953044506, -87.777256854)"
10258885,HY446257,10/01/2015 11:30:00 PM,011XX W LAWRENCE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,MOVIE HOUSE/THEATER,True,True,2033,20,46.0,3,08B,1167886.0,1932034.0,2015,02/10/2018 03:50:01 PM,41.969046206,-87.658064717,"(41.969046206, -87.658064717)"
10260105,HY447405,10/02/2015 04:00:00 PM,013XX N MILWAUKEE AVE,0890,THEFT,FROM BUILDING,MOVIE HOUSE/THEATER,False,False,1433,14,1.0,24,06,1164603.0,1909073.0,2015,02/10/2018 03:50:01 PM,41.906110347,-87.670788715,"(41.906110347, -87.670788715)"
10261139,HY448744,10/03/2015 11:50:00 PM,011XX W LAWRENCE AVE,0560,ASSAULT,SIMPLE,MOVIE HOUSE/THEATER,True,False,2033,20,46.0,3,08A,1167886.0,1932034.0,2015,02/10/2018 03:50:01 PM,41.969046206,-87.658064717,"(41.969046206, -87.658064717)"
10261588,HY449463,10/04/2015 02:00:00 PM,014XX S MUSEUM CAMPUS DR,0890,THEFT,FROM BUILDING,MOVIE HOUSE/THEATER,False,False,132,1,2.0,33,06,1179970.0,1893558.0,2015,02/10/2018 03:50:01 PM,41.863196881,-87.614817819,"(41.863196881, -87.614817819)"
10278640,HY467118,10/18/2015 01:30:00 AM,040XX N MILWAUKEE AVE,0460,BATTERY,SIMPLE,MOVIE HOUSE/THEATER,False,False,1624,16,45.0,15,08B,1143297.0,1926444.0,2015,02/10/2018 03:50:01 PM,41.954202988,-87.748619056,"(41.954202988, -87.748619056)"
10286731,HY474735,10/11/2015 08:20:00 AM,003XX E ILLINOIS ST,0890,THEFT,FROM BUILDING,MOVIE HOUSE/THEATER,False,False,1834,18,42.0,8,06,1178708.0,1903688.0,2015,02/10/2018 03:50:01 PM,41.891023035,-87.619141016,"(41.891023035, -87.619141016)"
10288822,HY476983,10/25/2015 04:30:00 PM,003XX E Illinois St,0890,THEFT,FROM BUILDING,MOVIE HOUSE/THEATER,False,False,1834,18,42.0,8,06,1178708.0,1903688.0,2015,02/10/2018 03:50:01 PM,41.891023035,-87.619141016,"(41.891023035, -87.619141016)"
